2115	0	6.01369863013699	4.85714285714286	4.28571428571429	4.57142857142857	24	24	24
2116	0	6.61369863013699	6.85714285714286	4.71428571428571	5.14285714285714	31	32	22
2118	1	5.15890410958904	3.28571428571429	5.14285714285714	5.42857142857143	34	26	31
2119	0	6.77534246575342	5.42857142857143	5.57142857142857	5.57142857142857	30	29	29
2120	0	6.4958904109589	5.14285714285714	5.28571428571429	4.57142857142857	28	28	25
2122	0	3.78630136986301	4.14285714285714	4.28571428571429	4.28571428571429	34	37	30
2123	0	4.51780821917808	4.57142857142857	6.14285714285714	6.71428571428571	30	26	24
2126	1	4.12054794520548	6.28571428571429	7.85714285714286	7.71428571428571	19	19	16
2136	0	4.36986301369863	5.71428571428571	6.42857142857143	5	41	35	33
2140	1	5.58356164383562	6.42857142857143	2.85714285714286	4	42	31	39
2141	1	5.32054794520548	6.57142857142857	6.85714285714286	7.14285714285714	33	29	27
2142	0	3.1972602739726	4	4.42857142857143	2.85714285714286	42	42	39
2143	0	6.43561643835616	6.28571428571429	6.57142857142857	6.85714285714286	41	34	34
2145	1	4.31506849315068	5.14285714285714	5.42857142857143	5.71428571428571	32	22	26
2146	1	4.18904109589041	5.42857142857143	6.71428571428571	6.42857142857143	32	29	37
2147	0	5.24657534246575	7	4.71428571428571	6	29	30	25
2149	1	3.86575342465753	5	4.57142857142857	4.85714285714286	33	49	48
2153	1	3.35890410958904	4.28571428571429	5	4.14285714285714	41	35	38
2155	1	7.02739726027397	6.42857142857143	6.42857142857143	7	22	22	21
2156	1	4.38630136986301	4.57142857142857	3.28571428571429	5.71428571428571	24	33	32
2157	1	3.23287671232877	3.28571428571429	5.57142857142857	5.28571428571429	32	34	29
2158	1	5.49315068493151	5	4.85714285714286	4.28571428571429	35	32	26
2160	1	6.89041095890411	6.57142857142857	5	6	28	26	26
2161	1	6.51780821917808	4.85714285714286	5.85714285714286	6.28571428571429	21	23	21
2169	1	6.25205479452055	4.71428571428571	7.42857142857143	6.28571428571429	26	23	30
2171	1	4.30958904109589	5	5.71428571428571	6.71428571428571	37	35	34
2172	0	5.23287671232877	6.28571428571429	4.57142857142857	5.28571428571429	34	35	37
2173	1	6.55342465753425	4.85714285714286	5.28571428571429	5	35	32	30
2175	1	5.45479452054794	5.42857142857143	6.71428571428571	5	33	24	25
2177	0	4.66849315068493	4.57142857142857	4	4.71428571428571	39	36	37
2182	0	5.77808219178082	5	4.71428571428571	4.57142857142857	37	31	31
2185	1	3.26027397260274	6.42857142857143	4.71428571428571	5.85714285714286	23	20	19
2186	1	4.07945205479452	5	4.85714285714286	4.57142857142857	40	36	34
2199	1	3.71232876712329	6.14285714285714	6.28571428571429	5.71428571428571	30	31	34
2203	1	5.23835616438356	4.42857142857143	4.85714285714286	5.85714285714286	32	33	34
2204	0	5.10958904109589	3.42857142857143	5.42857142857143	5	30	15	15
2205	1	6	4.14285714285714	6.57142857142857	5.57142857142857	30	28	41
2207	0	3.3013698630137	4.71428571428571	5.14285714285714	4.28571428571429	50	35	38
2209	0	5.23013698630137	6.14285714285714	6.57142857142857	6.14285714285714	31	29	29
2210	0	4.54520547945206	3.85714285714286	4.57142857142857	5.14285714285714	31	31	26
2212	1	5.06849315068493	5.28571428571429	5.57142857142857	5.28571428571429	33	30	26
2213	0	4.18082191780822	5	4.85714285714286	5.28571428571429	26	18	20
2217	0	5.02739726027397	2.71428571428571	4.71428571428571	3.57142857142857	37	32	25
2220	0	4.08493150684932	4.57142857142857	3.57142857142857	3.14285714285714	32	30	27
2223	0	6.95616438356164	5.57142857142857	4.28571428571429	4.85714285714286	44	41	42
2224	0	6.1972602739726	4.71428571428571	5.14285714285714	3.57142857142857	39	44	34
2225	0	5.83013698630137	4	5.85714285714286	6.28571428571429	33	33	35
2226	1	5.97808219178082	4.42857142857143	5.71428571428571	5	33	25	36
2231	0	4.04657534246575	5	5.85714285714286	4.42857142857143	35	32	37
2235	0	6.97534246575342	3.57142857142857	5.14285714285714	3.57142857142857	22	28	25
2239	0	5.44383561643836	3.85714285714286	3.57142857142857	4.71428571428571	35	32	33
2241	0	5.81095890410959	6.57142857142857	5.42857142857143	5.42857142857143	28	28	28
2244	0	3.2958904109589	4.14285714285714	5.42857142857143	5.28571428571429	32	34	30
2253	0	3.32328767123288	5.57142857142857	5.14285714285714	5	34	26	27
2255	1	4.7013698630137	4	5.71428571428571	4.14285714285714	36	48	44
2259	1	5.82191780821918	4.28571428571429	6.57142857142857	5.28571428571429	39	32	26
2260	1	4.8958904109589	6.71428571428571	6.28571428571429	5.14285714285714	39	41	42
2261	1	3.41369863013699	3.85714285714286	6.14285714285714	5.28571428571429	32	31	32
2262	0	4.75890410958904	3.57142857142857	2.71428571428571	4.14285714285714	35	39	46
2265	0	3.89041095890411	5.57142857142857	5.14285714285714	3.85714285714286	26	32	18
2270	0	3.26575342465753	4	4.14285714285714	3.42857142857143	30	28	27
2273	1	6.94794520547945	4.28571428571429	4.85714285714286	6.14285714285714	31	33	25
2278	0	5.03561643835616	5	4.85714285714286	4.71428571428571	30	24	30
2279	1	6.95616438356164	6.28571428571429	5.42857142857143	6.28571428571429	27	23	19
2284	1	3.27397260273973	5.71428571428571	5.71428571428571	5.14285714285714	27	23	26
2285	1	4.78630136986301	5.85714285714286	7.14285714285714	7.14285714285714	25	22	18
2287	1	5.83013698630137	4.85714285714286	4	6.85714285714286	34	29	31
2289	1	6.45205479452055	4.71428571428571	5.71428571428571	5.28571428571429	32	31	26
2291	0	5.31780821917808	4.71428571428571	5.28571428571429	5.14285714285714	30	33	37
2297	0	3.50684931506849	5.42857142857143	6	4	31	32	29
